show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s741,Movie,A Beautiful Mind 4,,"Lupita Nyong'o, Cate Blanchett, Denzel Washington",South Korea,"January 24, 2015",2015,,157 min,"Independent Movies, Crime TV Shows, Reality TV","When secrets from the past resurface, a family must confront the truth before it destroys them."
s742,Movie,Desert Rain,Guillermo del Toro,"Leonardo DiCaprio, Oscar Isaac",United States,"February 18, 2020",2020,TV-Y,61 min,Reality TV,Five strangers are brought together by fate in a city that never sleeps.
s743,TV Show,Ozark,Jordan Peele,,Japan,"March 02, 2020",2020,TV-14,2 Seasons,"British TV Shows, International Movies, Documentaries",A comedy that brilliantly captures the chaos and joy of modern family life.
s744,Movie,The Ghost Network,Ryan Coogler,"Tom Hanks, Anthony Mackie",Germany,"March 03, 2018",2018,TV-14,113 min,Action & Adventure,A detective with a troubled past investigates a series of mysterious disappearances.
s745,Movie,Shadow Protocol,Jordan Peele,"Florence Pugh, Ana de Armas, Leonardo DiCaprio",Mexico,"December 02, 2016",2016,TV-Y7,76 min,"Drama, Comedy","Love, loss, and redemption collide in this emotionally charged journey across three continents."
s746,Movie,The Iron Curtain,Chloe Zhao,"Anthony Mackie, Oscar Isaac, Zendaya, Meryl Streep, Leonardo DiCaprio",United Kingdom,"March 25, 2012",2012,NR,164 min,"Music & Musicals, Teen TV Shows","In a dystopian future, one person dares to challenge the system and ignite a revolution."
s747,Movie,The Iron Curtain,Barry Jenkins,"Tom Hanks, Zendaya, Cate Blanchett, Ryan Gosling, Lupita Nyong'o",Canada,"September 15, 2000",2000,TV-PG,121 min,"Teen TV Shows, Music & Musicals, Horror","Based on true events, this documentary exposes the hidden world behind the headlines."
s748,Movie,Shattered Mirror,Greta Gerwig,"Cate Blanchett, Idris Elba",United States,"October 19, 2017",2017,G,83 min,Sports Movies,A detective with a troubled past investigates a series of mysterious disappearances.
s749,Movie,Shattered Mirror,,"Anthony Mackie, Florence Pugh, Lupita Nyong'o, Idris Elba, Tom Hanks",Thailand,"August 03, 2019",2019,TV-MA,160 min,"British TV Shows, Reality TV","Set against the backdrop of history, a love story that transcends time and borders."
s750,Movie,The Silent House,Christopher Nolan,"Brad Pitt, Denzel Washington, Cate Blanchett, Meryl Streep",South Korea,"July 13, 2020",2020,PG-13,149 min,Teen TV Shows,An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s751,Movie,Fire & Ice 4,Denis Villeneuve,"Oscar Isaac, Denzel Washington",South Korea,"November 20, 2014",2014,R,77 min,"Teen TV Shows, Drama, International Movies","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s752,TV Show,The Haunting of Hill House,Greta Gerwig,"Florence Pugh, Viola Davis, Leonardo DiCaprio",France,"November 05, 2015",2015,UR,2 Seasons,"Reality TV, British TV Shows, Korean TV Shows",Five strangers are brought together by fate in a city that never sleeps.
s753,Movie,Golden Hour,Christopher Nolan,"Florence Pugh, Meryl Streep, Idris Elba, Lupita Nyong'o, Denzel Washington",Mexico,"April 25, 2009",2009,UR,135 min,"Music & Musicals, Anime Features","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s754,TV Show,Shadow and Bone,Kathryn Bigelow,"Leonardo DiCaprio, Idris Elba",Australia,"January 04, 2006",2006,TV-Y7,4 Seasons,Action & Adventure,"Love, loss, and redemption collide in this emotionally charged journey across three continents."
s755,Movie,Starfall 4,Christopher Nolan,"Denzel Washington, Brad Pitt",Spain,,2018,TV-MA,126 min,British TV Shows,An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s756,Movie,Quantum Leap 3,,,Turkey,"December 15, 2010",2010,TV-Y7,145 min,Korean TV Shows,"In a dystopian future, one person dares to challenge the system and ignite a revolution."
s757,Movie,Beyond the Horizon 2,,"Lupita Nyong'o, Oscar Isaac, Brad Pitt, Leonardo DiCaprio, Denzel Washington",United Kingdom,"September 22, 2002",2002,NC-17,85 min,"Children & Family Movies, Action & Adventure","In a dystopian future, one person dares to challenge the system and ignite a revolution."
s758,Movie,Desert Rain,Spike Lee,"Ana de Armas, Oscar Isaac, Brad Pitt",United Kingdom,"March 22, 2020",2020,R,108 min,Children & Family Movies,"Based on true events, this documentary exposes the hidden world behind the headlines."
s759,Movie,Echoes of Tomorrow 3,Martin Scorsese,"Lupita Nyong'o, Ryan Gosling, Zendaya, Viola Davis, Brad Pitt",United Kingdom,,2014,TV-PG,66 min,Reality TV,A detective with a troubled past investigates a series of mysterious disappearances.
s760,TV Show,The Circle,,"Zendaya, Leonardo DiCaprio, Cate Blanchett, Natalie Portman",Canada,"March 15, 2008",2008,TV-PG,3 Seasons,Action & Adventure,"A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s761,Movie,Desert Rain,Sofia Coppola,"Cate Blanchett, Idris Elba, Lupita Nyong'o",Nigeria,"August 26, 2014",2014,TV-PG,157 min,"Children & Family Movies, Teen TV Shows","Love, loss, and redemption collide in this emotionally charged journey across three continents."
s762,TV Show,Squid Game,,"Florence Pugh, Leonardo DiCaprio, Viola Davis, Cate Blanchett",United States,"December 21, 2018",2018,NR,8 Seasons,"Comedy, Reality TV",An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s763,Movie,Echoes of Tomorrow,Martin Scorsese,,United Kingdom,"November 12, 2011",2011,PG-13,110 min,"Stand-Up Comedy, Drama, Crime TV Shows",A comedy that brilliantly captures the chaos and joy of modern family life.
s764,TV Show,The Witcher,David Fincher,"Denzel Washington, Ryan Gosling, Idris Elba",Denmark,"August 25, 2015",2015,TV-14,5 Seasons,Science & Nature TV,"Set against the backdrop of history, a love story that transcends time and borders."
s765,Movie,Desert Rain,Christopher Nolan,"Tom Hanks, Oscar Isaac, Leonardo DiCaprio",Thailand,"September 14, 2019",2019,R,92 min,"International Movies, Horror, Korean TV Shows","Set against the backdrop of history, a love story that transcends time and borders."
s766,TV Show,Dark,,"Denzel Washington, Tom Hanks",Sweden,"January 23, 2019",2019,UR,6 Seasons,Children & Family Movies,A comedy that brilliantly captures the chaos and joy of modern family life.
s767,Movie,Golden Hour,,"Leonardo DiCaprio, Oscar Isaac, Zendaya",United Kingdom,"November 15, 2019",2019,PG,129 min,Korean TV Shows,"Set against the backdrop of history, a love story that transcends time and borders."
s768,Movie,Broken Wings,Martin Scorsese,"Idris Elba, Ryan Gosling, Zendaya",India,"September 01, 2014",2014,TV-PG,161 min,Stand-Up Comedy,"A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s769,TV Show,The Umbrella Academy,Chloe Zhao,"Anthony Mackie, Ana de Armas, Zendaya, Viola Davis, Idris Elba",,"September 06, 2013",2013,PG-13,6 Seasons,"Anime Features, Thrillers",A comedy that brilliantly captures the chaos and joy of modern family life.
s770,Movie,Golden Hour 4,Chloe Zhao,"Viola Davis, Idris Elba, Cate Blanchett, Oscar Isaac",Denmark,"April 28, 2015",2015,UR,179 min,Crime TV Shows,"Based on true events, this documentary exposes the hidden world behind the headlines."
s771,Movie,Ocean's Edge,Ryan Coogler,"Idris Elba, Ana de Armas, Natalie Portman",Australia,"October 08, 2011",2011,TV-14,137 min,"Stand-Up Comedy, Documentaries, Children & Family Movies",A comedy that brilliantly captures the chaos and joy of modern family life.
s772,TV Show,Squid Game,Christopher Nolan,,Argentina,"April 01, 2020",2020,NC-17,2 Seasons,Independent Movies,"Set against the backdrop of history, a love story that transcends time and borders."
s773,Movie,Steel Hearts,,"Natalie Portman, Tom Hanks, Anthony Mackie, Leonardo DiCaprio",Australia,"February 11, 2014",2014,TV-Y,153 min,Stand-Up Comedy,"Set against the backdrop of history, a love story that transcends time and borders."
s774,TV Show,Lupin,Wes Anderson,"Natalie Portman, Anthony Mackie",India,"March 23, 2018",2018,,5 Seasons,Comedy,Five strangers are brought together by fate in a city that never sleeps.
s775,Movie,Neon Dreams 4,Greta Gerwig,,South Korea,"June 13, 2017",2017,TV-PG,163 min,"Science & Nature TV, Comedy",Five strangers are brought together by fate in a city that never sleeps.
s776,Movie,Code Red 3,Taika Waititi,"Ryan Gosling, Tom Hanks, Florence Pugh, Denzel Washington, Anthony Mackie",Mexico,"November 11, 2013",2013,TV-MA,160 min,"Korean TV Shows, International Movies, Thrillers",A comedy that brilliantly captures the chaos and joy of modern family life.
s777,TV Show,Emily in Paris,Bong Joon-ho,,Italy,"April 03, 2018",2018,TV-14,2 Seasons,"Crime TV Shows, Action & Adventure","Love, loss, and redemption collide in this emotionally charged journey across three continents."
s345,Movie,Glass Houses 4,Ryan Coogler,"Meryl Streep, Anthony Mackie, Ryan Gosling, Tom Hanks",Sweden,"August 26, 2019",2019,PG,138 min,Teen TV Shows,"A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s778,Movie,Ocean's Edge,,"Viola Davis, Idris Elba, Meryl Streep, Tom Hanks, Anthony Mackie",Thailand,"December 16, 2018",2018,TV-14,175 min,"Sports Movies, International Movies, Science & Nature TV","In a dystopian future, one person dares to challenge the system and ignite a revolution."
s779,Movie,Beyond the Horizon,,"Ana de Armas, Tom Hanks, Cate Blanchett",,"February 24, 2019",2019,PG-13,137 min,Drama,A detective with a troubled past investigates a series of mysterious disappearances.
s780,Movie,A Beautiful Mind,Bong Joon-ho,"Florence Pugh, Tom Hanks, Natalie Portman",Turkey,"August 13, 2011",2011,TV-PG,82 min,Stand-Up Comedy,An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s781,Movie,The Last Dance,Guillermo del Toro,"Lupita Nyong'o, Denzel Washington, Brad Pitt, Oscar Isaac",Mexico,"November 24, 2017",2017,PG,73 min,"Comedy, Teen TV Shows","In a dystopian future, one person dares to challenge the system and ignite a revolution."
s782,TV Show,Warrior Nun,Spike Lee,"Oscar Isaac, Idris Elba",Japan,"March 27, 2018",2018,TV-MA,3 Seasons,Horror,"Set against the backdrop of history, a love story that transcends time and borders."
s783,TV Show,House of Cards,Denis Villeneuve,"Cate Blanchett, Ana de Armas, Brad Pitt",Denmark,"September 05, 2012",2012,NC-17,6 Seasons,"Stand-Up Comedy, Children & Family Movies, Teen TV Shows","Love, loss, and redemption collide in this emotionally charged journey across three continents."
s784,TV Show,The Circle,Greta Gerwig,"Oscar Isaac, Ana de Armas, Lupita Nyong'o, Natalie Portman, Cate Blanchett",South Korea,"May 19, 2014",2014,TV-14,2 Seasons,Sports Movies,"Set against the backdrop of history, a love story that transcends time and borders."
s785,TV Show,Warrior Nun,Spike Lee,"Oscar Isaac, Meryl Streep, Denzel Washington",Thailand,"December 04, 2021",2021,TV-PG,3 Seasons,"Teen TV Shows, Music & Musicals, Children & Family Movies","In a dystopian future, one person dares to challenge the system and ignite a revolution."
s786,TV Show,Control Z,Greta Gerwig,"Ana de Armas, Brad Pitt, Lupita Nyong'o",Norway,"May 25, 2021",2021,G,8 Seasons,"Romantic Movies, Stand-Up Comedy",A comedy that brilliantly captures the chaos and joy of modern family life.
s787,Movie,Beyond the Horizon,Ava DuVernay,"Brad Pitt, Leonardo DiCaprio",Australia,"October 11, 2021",2021,TV-14,171 min,Romantic Movies,"Set against the backdrop of history, a love story that transcends time and borders."
s788,TV Show,Too Hot to Handle,,"Viola Davis, Anthony Mackie, Ana de Armas",Philippines,"August 09, 2014",2014,,4 Seasons,Korean TV Shows,"Love, loss, and redemption collide in this emotionally charged journey across three continents."
s789,Movie,Whispering Walls,Bong Joon-ho,"Lupita Nyong'o, Meryl Streep, Zendaya",India,"April 06, 2010",2010,NR,156 min,"Horror, Comedy, Documentaries","Set against the backdrop of history, a love story that transcends time and borders."
s790,Movie,Fire & Ice,David Fincher,"Cate Blanchett, Denzel Washington, Oscar Isaac, Leonardo DiCaprio, Meryl Streep",,"September 25, 2019",2019,TV-Y,139 min,"Romantic Movies, Comedy, International Movies","Set against the backdrop of history, a love story that transcends time and borders."
s791,Movie,The Last Dance,Christopher Nolan,"Oscar Isaac, Idris Elba, Lupita Nyong'o",Canada,"February 03, 2013",2013,UR,140 min,"Horror, Crime TV Shows, Drama","Set against the backdrop of history, a love story that transcends time and borders."
s792,TV Show,Narcos,Jordan Peele,"Tom Hanks, Leonardo DiCaprio, Florence Pugh, Zendaya, Cate Blanchett",Italy,"December 24, 2006",2006,UR,6 Seasons,British TV Shows,An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s793,TV Show,Altered Carbon,Taika Waititi,"Tom Hanks, Lupita Nyong'o",Norway,"March 07, 2015",2015,TV-Y,2 Seasons,"Horror, Drama, Korean TV Shows",An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s794,Movie,Neon Dreams,Spike Lee,"Natalie Portman, Ryan Gosling, Lupita Nyong'o, Tom Hanks, Leonardo DiCaprio",Turkey,"October 01, 2016",2016,PG,96 min,"Documentaries, Crime TV Shows, British TV Shows",A detective with a troubled past investigates a series of mysterious disappearances.
s795,Movie,The Phoenix Project,,"Natalie Portman, Ana de Armas",South Korea,"July 16, 2018",2018,G,174 min,"Korean TV Shows, Action & Adventure",Five strangers are brought together by fate in a city that never sleeps.
s796,Movie,The Silent House 4,Chloe Zhao,"Florence Pugh, Lupita Nyong'o, Denzel Washington, Cate Blanchett",France,,2016,NC-17,75 min,Romantic Movies,"A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s797,TV Show,Jupiter's Legacy,Kathryn Bigelow,"Oscar Isaac, Brad Pitt",Argentina,"January 17, 2005",2005,TV-PG,8 Seasons,Horror,"Set against the backdrop of history, a love story that transcends time and borders."
s798,TV Show,Bridgerton,,"Oscar Isaac, Meryl Streep",,"December 08, 2005",2005,R,5 Seasons,"Music & Musicals, Anime Features",An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s799,TV Show,Money Heist,,"Leonardo DiCaprio, Lupita Nyong'o, Zendaya",Sweden,"July 20, 2016",2016,TV-G,4 Seasons,Teen TV Shows,"A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s800,TV Show,Emily in Paris,Alfonso Cuarón,"Viola Davis, Florence Pugh, Anthony Mackie, Natalie Portman, Tom Hanks",Nigeria,"February 17, 2015",2015,PG,8 Seasons,Comedy,"A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s801,Movie,Parallel Lives,Jordan Peele,"Leonardo DiCaprio, Anthony Mackie, Meryl Streep, Oscar Isaac",Argentina,"January 01, 2021",2021,PG,129 min,"Action & Adventure, British TV Shows, Anime Features","Set against the backdrop of history, a love story that transcends time and borders."
s253,Movie,Golden Hour 3,Spike Lee,"Idris Elba, Florence Pugh, Viola Davis",Argentina,"March 21, 2009",2009,TV-MA,160 min,"Comedy, Music & Musicals",A detective with a troubled past investigates a series of mysterious disappearances.
s802,Movie,Silent Storm 4,Ryan Coogler,"Meryl Streep, Tom Hanks, Zendaya",,"August 13, 2020",2020,TV-MA,88 min,"Action & Adventure, Romantic Movies, Sports Movies","Set against the backdrop of history, a love story that transcends time and borders."
s803,Movie,Velvet Underground,Park Chan-wook,"Cate Blanchett, Brad Pitt, Oscar Isaac, Meryl Streep",India,"April 27, 2013",2013,TV-14,86 min,"Music & Musicals, British TV Shows, International Movies","Set against the backdrop of history, a love story that transcends time and borders."
s804,Movie,Golden Hour 2,Christopher Nolan,"Ryan Gosling, Denzel Washington",Philippines,"September 15, 2016",2016,R,71 min,"Comedy, Thrillers","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s805,Movie,Glass Houses,Guillermo del Toro,"Natalie Portman, Viola Davis",Denmark,"October 15, 2021",2021,TV-PG,116 min,Teen TV Shows,A comedy that brilliantly captures the chaos and joy of modern family life.
s806,TV Show,Peaky Blinders,Wes Anderson,"Denzel Washington, Ryan Gosling",Brazil,"August 12, 2020",2020,PG-13,8 Seasons,"Stand-Up Comedy, Sports Movies, Drama",A comedy that brilliantly captures the chaos and joy of modern family life.
s807,TV Show,Dark,Ava DuVernay,"Lupita Nyong'o, Viola Davis, Natalie Portman, Idris Elba, Meryl Streep",Japan,"July 03, 2014",2014,PG,3 Seasons,"Independent Movies, British TV Shows, Anime Features","In a dystopian future, one person dares to challenge the system and ignite a revolution."
s808,Movie,Glass Houses,Martin Scorsese,"Anthony Mackie, Zendaya, Idris Elba, Natalie Portman, Florence Pugh",Denmark,"February 26, 2009",2009,NR,65 min,"Teen TV Shows, Children & Family Movies","In a dystopian future, one person dares to challenge the system and ignite a revolution."
s809,Movie,Crimson Peak 3,Guillermo del Toro,"Idris Elba, Ana de Armas, Brad Pitt",Turkey,"November 13, 2019",2019,UR,149 min,"International Movies, Reality TV, British TV Shows",A comedy that brilliantly captures the chaos and joy of modern family life.
s810,Movie,Fire & Ice 3,Christopher Nolan,"Oscar Isaac, Ryan Gosling, Tom Hanks, Denzel Washington",,"March 12, 2015",2015,PG,95 min,"Teen TV Shows, Horror, Drama",A comedy that brilliantly captures the chaos and joy of modern family life.
s811,TV Show,Money Heist,Steven Spielberg,"Natalie Portman, Zendaya, Leonardo DiCaprio, Brad Pitt, Denzel Washington",France,,2017,UR,2 Seasons,International Movies,"When secrets from the past resurface, a family must confront the truth before it destroys them."
s812,TV Show,The Witcher,Kathryn Bigelow,"Viola Davis, Florence Pugh, Oscar Isaac, Cate Blanchett",Japan,"June 06, 2021",2021,TV-Y7,5 Seasons,"Teen TV Shows, Music & Musicals","When secrets from the past resurface, a family must confront the truth before it destroys them."
s813,TV Show,Money Heist,Spike Lee,"Ryan Gosling, Anthony Mackie, Tom Hanks, Natalie Portman",Canada,"April 23, 2003",2003,TV-MA,7 Seasons,"Action & Adventure, Independent Movies",An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s814,TV Show,The Crown,,"Ryan Gosling, Zendaya, Lupita Nyong'o",India,"July 15, 2000",2000,NR,2 Seasons,"Action & Adventure, Sports Movies",A detective with a troubled past investigates a series of mysterious disappearances.
s815,TV Show,Cobra Kai,Kathryn Bigelow,"Viola Davis, Oscar Isaac, Brad Pitt, Idris Elba",Nigeria,"April 23, 2018",2018,TV-PG,8 Seasons,"Music & Musicals, Reality TV","Set against the backdrop of history, a love story that transcends time and borders."
s816,TV Show,Jupiter's Legacy,,,France,"November 25, 2011",2011,TV-MA,4 Seasons,"Reality TV, Comedy, Stand-Up Comedy","When secrets from the past resurface, a family must confront the truth before it destroys them."
s817,Movie,The Final Frontier,Ava DuVernay,"Anthony Mackie, Cate Blanchett, Brad Pitt",Indonesia,"June 12, 2018",2018,TV-PG,66 min,Korean TV Shows,"Set against the backdrop of history, a love story that transcends time and borders."
s818,Movie,Starfall,Sofia Coppola,"Viola Davis, Leonardo DiCaprio, Tom Hanks, Brad Pitt",Spain,"October 14, 2021",2021,NR,161 min,"Anime Features, Thrillers","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s819,TV Show,Better Call Saul,Chloe Zhao,"Oscar Isaac, Viola Davis, Ryan Gosling, Leonardo DiCaprio, Zendaya",Mexico,"October 01, 2020",2020,R,6 Seasons,"Reality TV, Korean TV Shows","In a dystopian future, one person dares to challenge the system and ignite a revolution."
s820,Movie,Broken Wings,,"Meryl Streep, Lupita Nyong'o, Brad Pitt, Idris Elba",South Korea,"November 14, 2019",2019,G,79 min,"Thrillers, Sports Movies","Based on true events, this documentary exposes the hidden world behind the headlines."
s821,Movie,Golden Hour 4,Jordan Peele,"Tom Hanks, Anthony Mackie, Viola Davis, Zendaya, Meryl Streep",Germany,"September 27, 2008",2008,PG,109 min,Drama,A comedy that brilliantly captures the chaos and joy of modern family life.
s478,Movie,Dark Waters 2,Alfonso Cuarón,"Brad Pitt, Meryl Streep, Tom Hanks, Lupita Nyong'o, Denzel Washington",Denmark,"February 24, 2016",2016,PG-13,94 min,Independent Movies,A comedy that brilliantly captures the chaos and joy of modern family life.
s822,Movie,Starfall 2,Barry Jenkins,"Tom Hanks, Cate Blanchett, Florence Pugh, Meryl Streep, Denzel Washington",Italy,"May 15, 2021",2021,UR,141 min,"Action & Adventure, Horror","When secrets from the past resurface, a family must confront the truth before it destroys them."
s823,Movie,Parallel Lives 2,Kathryn Bigelow,"Idris Elba, Cate Blanchett, Brad Pitt, Viola Davis, Ana de Armas",Norway,"November 06, 2015",2015,TV-PG,99 min,Documentaries,A comedy that brilliantly captures the chaos and joy of modern family life.
s824,Movie,Beyond the Horizon,Steven Spielberg,"Ryan Gosling, Leonardo DiCaprio, Oscar Isaac, Idris Elba",Indonesia,"December 05, 2016",2016,TV-MA,180 min,Horror,An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s825,Movie,Echoes of Tomorrow,Barry Jenkins,"Oscar Isaac, Natalie Portman",Japan,"November 24, 2018",2018,NC-17,171 min,"Teen TV Shows, Reality TV, Thrillers","When secrets from the past resurface, a family must confront the truth before it destroys them."
s826,Movie,Ocean's Edge,,"Denzel Washington, Zendaya",India,"January 13, 2018",2018,NR,129 min,"Horror, Anime Features, Children & Family Movies",Five strangers are brought together by fate in a city that never sleeps.
s827,TV Show,Altered Carbon,,"Denzel Washington, Ana de Armas",Sweden,"June 06, 2020",2020,PG,6 Seasons,"Anime Features, Science & Nature TV","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s828,Movie,Desert Rain,Chloe Zhao,"Lupita Nyong'o, Zendaya",Norway,"December 22, 2019",2019,TV-MA,128 min,"Music & Musicals, Korean TV Shows",A detective with a troubled past investigates a series of mysterious disappearances.
s829,TV Show,Outer Banks,Sofia Coppola,"Tom Hanks, Oscar Isaac, Anthony Mackie, Ana de Armas, Zendaya",Mexico,"August 04, 2009",2009,NR,3 Seasons,"Reality TV, Children & Family Movies","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s830,TV Show,Squid Game,Guillermo del Toro,"Ryan Gosling, Denzel Washington, Tom Hanks, Oscar Isaac, Cate Blanchett",Denmark,"October 26, 2012",2012,TV-PG,8 Seasons,Reality TV,"In a dystopian future, one person dares to challenge the system and ignite a revolution."
s831,Movie,Silent Storm,Wes Anderson,"Brad Pitt, Denzel Washington",,,2012,PG-13,115 min,"Documentaries, Comedy","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s832,Movie,Shattered Mirror 4,Guillermo del Toro,"Anthony Mackie, Meryl Streep, Leonardo DiCaprio, Ryan Gosling, Oscar Isaac",Australia,"December 08, 2006",2006,NC-17,91 min,"Action & Adventure, British TV Shows, Music & Musicals","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s833,Movie,Dark Waters,Guillermo del Toro,"Brad Pitt, Viola Davis, Tom Hanks",Mexico,"January 07, 2008",2008,UR,156 min,"Thrillers, Drama",Five strangers are brought together by fate in a city that never sleeps.
s834,Movie,Quantum Leap 3,Sofia Coppola,"Oscar Isaac, Florence Pugh, Meryl Streep, Viola Davis, Leonardo DiCaprio",,"May 03, 2015",2015,TV-MA,171 min,Action & Adventure,"Love, loss, and redemption collide in this emotionally charged journey across three continents."
s835,Movie,The Last Dance 3,Ryan Coogler,"Anthony Mackie, Zendaya",Spain,"October 01, 2005",2005,TV-G,113 min,"Romantic Movies, International Movies, Teen TV Shows","In a dystopian future, one person dares to challenge the system and ignite a revolution."
s836,TV Show,The Circle,David Fincher,"Anthony Mackie, Zendaya, Natalie Portman",Norway,"November 19, 2017",2017,TV-PG,2 Seasons,"Drama, Stand-Up Comedy","Set against the backdrop of history, a love story that transcends time and borders."
s837,Movie,Silent Storm,Sofia Coppola,"Anthony Mackie, Leonardo DiCaprio, Ana de Armas, Zendaya, Cate Blanchett",France,"June 15, 2020",2020,NR,166 min,Reality TV,"A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s838,Movie,Edge of Glory,Sofia Coppola,"Tom Hanks, Meryl Streep, Anthony Mackie, Natalie Portman",Canada,"February 22, 2014",2014,TV-G,137 min,Action & Adventure,"When secrets from the past resurface, a family must confront the truth before it destroys them."
s839,TV Show,Ozark,Martin Scorsese,"Denzel Washington, Zendaya, Ana de Armas, Oscar Isaac",Spain,"August 11, 2018",2018,PG-13,8 Seasons,Anime Features,Five strangers are brought together by fate in a city that never sleeps.
s840,Movie,Edge of Glory 4,Chloe Zhao,"Ana de Armas, Natalie Portman, Florence Pugh, Leonardo DiCaprio",France,"March 28, 2018",2018,,133 min,Comedy,"When secrets from the past resurface, a family must confront the truth before it destroys them."
s841,Movie,The Ghost Network,Ryan Coogler,"Ryan Gosling, Leonardo DiCaprio, Natalie Portman, Denzel Washington, Cate Blanchett",Argentina,"September 20, 2010",2010,TV-PG,71 min,"Music & Musicals, Korean TV Shows","In a dystopian future, one person dares to challenge the system and ignite a revolution."
s842,Movie,The Silent House,Bong Joon-ho,"Florence Pugh, Meryl Streep, Brad Pitt",Italy,"June 18, 2006",2006,,133 min,"Drama, Thrillers",An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s843,Movie,Crimson Peak,Bong Joon-ho,"Viola Davis, Brad Pitt, Meryl Streep, Ana de Armas",South Korea,"October 05, 2016",2016,UR,163 min,"British TV Shows, Crime TV Shows","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s488,Movie,The Final Frontier 3,Denis Villeneuve,"Tom Hanks, Idris Elba, Anthony Mackie, Cate Blanchett",Japan,"November 15, 2014",2014,PG,72 min,Music & Musicals,An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s844,Movie,The Last Dance,,"Zendaya, Ryan Gosling",South Korea,"September 15, 2020",2020,PG-13,170 min,"Stand-Up Comedy, Horror","Set against the backdrop of history, a love story that transcends time and borders."
s845,TV Show,The Witcher,Denis Villeneuve,"Tom Hanks, Natalie Portman",Norway,"February 02, 2019",2019,UR,3 Seasons,"Teen TV Shows, Reality TV","Love, loss, and redemption collide in this emotionally charged journey across three continents."
s846,Movie,Code Red,Alfonso Cuarón,"Oscar Isaac, Tom Hanks, Ryan Gosling, Anthony Mackie",France,"May 18, 2015",2015,G,135 min,"Children & Family Movies, Anime Features, International Movies",A comedy that brilliantly captures the chaos and joy of modern family life.
s847,Movie,The Phoenix Project 4,Ryan Coogler,"Anthony Mackie, Oscar Isaac, Lupita Nyong'o",Brazil,,2017,PG-13,66 min,"Stand-Up Comedy, Sports Movies","Set against the backdrop of history, a love story that transcends time and borders."
s848,Movie,Raw Power,Spike Lee,,,"January 16, 2014",2014,UR,145 min,"Documentaries, Children & Family Movies, Korean TV Shows","When secrets from the past resurface, a family must confront the truth before it destroys them."
s849,Movie,Quantum Leap,David Fincher,"Leonardo DiCaprio, Denzel Washington",Turkey,"March 06, 2019",2019,G,107 min,Crime TV Shows,A detective with a troubled past investigates a series of mysterious disappearances.
s850,Movie,The Silent House,Christopher Nolan,"Tom Hanks, Denzel Washington",Denmark,"July 25, 2001",2001,G,74 min,"Romantic Movies, Thrillers",Five strangers are brought together by fate in a city that never sleeps.
s851,Movie,Hollow Ground,Steven Spielberg,"Idris Elba, Leonardo DiCaprio, Natalie Portman, Tom Hanks, Oscar Isaac",Turkey,"September 02, 2016",2016,PG-13,142 min,Children & Family Movies,"When secrets from the past resurface, a family must confront the truth before it destroys them."
s852,TV Show,Too Hot to Handle,,,Denmark,"January 07, 2015",2015,NC-17,5 Seasons,Action & Adventure,A comedy that brilliantly captures the chaos and joy of modern family life.
s853,Movie,The Forgotten Path,,"Idris Elba, Oscar Isaac, Zendaya",Norway,"June 22, 2019",2019,UR,109 min,Comedy,"A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s854,Movie,Fire & Ice 4,Christopher Nolan,"Anthony Mackie, Zendaya",Norway,"August 16, 2015",2015,TV-PG,94 min,"Horror, Romantic Movies, British TV Shows","Set against the backdrop of history, a love story that transcends time and borders."
s855,Movie,Beyond the Horizon,Chloe Zhao,"Leonardo DiCaprio, Lupita Nyong'o, Brad Pitt",Germany,"November 12, 2012",2012,G,108 min,"Anime Features, Horror","Based on true events, this documentary exposes the hidden world behind the headlines."
